chargeDeviceID,reference,name,latitude,longitude,chargeDeviceStatus
be5bc41c9ce398d8e5324b70cf066daa,SRC_LDN60342,King John Court ,51.524110,-0.078978,In service
4ad38ecf2884a47a5efa657f3358e635,SRC_LDN60343,Kings Mall Car Park,51.493964,-0.229058,In service
2c40de1f33e9ccb8dffd2f3cc6a0c903,SRC_LDN60344,Kingsbury Road Car Park,51.584958,-0.277429,In service
b264c38fe3c4092efab48ab1ce030329,SRC_LDN60345,Kingston University - Kingston Hill Campus,51.429188,-0.263097,In service
86b0d735b14afc1f1c64986ef01afc22,SRC_LDN60346,Kingston University - Knights Park Campus,51.405446,-0.300358,In service
f88ed1baa2d998584a6d7a861b7a2055,SRC_LDN60347,Kingston University - Penrhyn Road Campus,51.401733,-0.302897,In service
22052ed6db7561a2a8abc3e50d68f829,SRC_LDN60348,Kingston University - Roehampton Vale Campus,51.436945,-0.251969,In service
0f29a3092aa170140432866b7c7e0ad9,SRC_LDN60349,Kitto Road ,51.468059,-0.044215,Out of service
7149244de63a0baa9bd91ff165cfaf79,SRC_LDN60350,Lakeside Shopping Centre,51.489372,0.282178,In service
9407c90c49bf04f8b59677647ef56522,SRC_LDN60351,Langley Leisure Centre,51.499402,-0.535276,In service
1f5b519cde67ac0d0fcab419aa3048a4,SRC_LDN60353,Leigh Hunt Drive Car Park,51.630679,-0.127334,In service
755e7babe12f5f5b55756943fab23a2c,SRC_LDN60354,Leinster Gardens,51.513484,-0.183624,In service
ab7902a82898c827ae39f10473cd9888,SRC_LDN60355,Lewisham Shopping Centre CP,51.462765,-0.010682,In service
f1ec6f11fdca959b087365bff349da2a,SRC_LDN60356,Lincoln's Inn Fields,51.515276,-0.117067,Out of service
82eeb7c49f8acc2d9b7ce8287ea8fea0,SRC_LDN60357,Lincolns Inn Field,51.517124,-0.116227,Out of service
602852260c81b93a01693165f1ae9dd7,SRC_LDN60358,Lion Green Road car park,51.319157,-0.140236,Out of service
9643ea653fa4c97e6c0b01346ab1ad6e,SRC_LDN60359,London Road Car Park,51.538721,0.077796,In service
347d36720bafa2296c3c9eeb2099aa7a,SRC_LDN60360,London Wall Car Park 1,51.517667,-0.095262,Out of service
53d3eeaf4d7a0111edebc65644961762,SRC_LDN60361,Loughton Station Car Park 1,51.640564,0.053730,In service
16396618378b70abe31493ead61ca631,SRC_LDN60362,Lower Addiscombe Road,51.381035,-0.071207,In service
00ded208a2a2a932217ed8cc9c13c1d6,SRC_LDN60364,Magdalen Street,51.503725,-0.081809,Out of service
a4cd7b365b8116dc933969a17d33c9e8,SRC_LDN60365,London Olympics Media Centre 1,51.547876,-0.024784,In service
78f9c02a11b92faecdfc0b1e52fad018,SRC_LDN60366,Malet Street,51.522463,-0.131244,Out of service
de288fe869dbbbdd91c4f8f89886f647,SRC_LDN60367,Marlborough Road,51.494910,0.073642,In service
c0f43f92577e6a9e94982dfda4565340,SRC_LDN60368,Messeter Place,51.450070,0.059433,In service
3bc8e52202b74e5845ea52ee395623e1,SRC_LDN60369,Mill Lane,51.551246,-0.203050,Out of service
cb9337bc8a0cde6ee31a94a201f0333d,SRC_LDN60370,Millennium Hotel,51.510379,-0.150646,In service
ccebcec8775c71ca0c3e559870894dc4,SRC_LDN60371,Minories Car Park 1,51.510492,-0.073354,Out of service
0fb8280ea2d4c3dea9db1c1c7ffa4581,SRC_LDN60372,Montagu Mansions,51.520476,-0.157963,In service
34dc54d96373b2263b664f8dd1e628ac,SRC_LDN60373,Montem Leisure Centre,51.510251,-0.608767,In service
3f4718c3fe9e06f834777e39835e3dfd,SRC_LDN60374,NCP Aldersgate Street - Level 1,51.518690,-0.097338,Out of service
b988bce88d7ae76fef0f2e0f3e809c0f,SRC_LDN60375,NCP Allders,51.374917,-0.099124,In service
58ca3758d5e6daea6802485a22f4d1ed,SRC_LDN60376,NCP Arthur Court,51.516192,-0.188921,In service
72342f16da6da710f86b49bfad61dff6,SRC_LDN60377,NCP Berners Street,51.518018,-0.137868,In service
72ff247339a16a5e0850f7801504ead1,SRC_LDN60378,NCP Brewer Street,51.512340,-0.134814,In service
